,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,dpt_corr,exp_corr,or_exp_corr,trajectory type
0,0.03,0.016666666666666666,0.0005,-3.506557897319982,-4.0943445622221,5.773502691896258,7.745966692414834,12,4274.25,51291,0.287,0.127,2.126550269058834,0.21212121212121213,0.7878787878787878,0,82.34736315814062,358.0689176707771,44.844010116833765,0.12523848874831725,0.3780488863138612,33.68287318977081,0.4090340224384103,0.9634016821871398,0.7438421229967981,0.772287531221679,hayashi
1,0.05,0.01,0.0005,-2.995732273553991,-4.605170185988091,4.47213595499958,10.0,20,2398.75,47975,0.135,0.03,1.4879010219655686,0.4368421052631579,0.5631578947368421,0,82.31878720418186,330.988033675677,42.91512260857104,0.1296576257817888,0.1444212158209972,16.01330536968598,0.19452795544675486,0.9018869444380253,0.7730243308439417,0.7679260867106332,hayashi
2,0.07,0.007142857142857143,0.0005,-2.659260036932778,-4.941642422609305,3.779644730092272,11.832159566199232,28,1793.75,50225,0.124,0.029,1.533441285458608,0.5,0.5,0,107.42516680535905,374.96391947675426,32.83461543133851,0.08756739975717605,0.12745958298572732,10.837942733770959,0.10088830258376932,0.9138933895220989,0.7158406164806503,0.7489414400916082,hayashi
3,0.1,0.005,0.0005,-2.3025850929940455,-5.298317366548036,3.1622776601683795,14.142135623730951,41,1233.9512195121952,50592,0.161,0.047,1.6982990756249947,0.5475609756097561,0.4524390243902439,0,84.64581680403458,364.75644018267405,31.69912080793125,0.08690489684584042,0.18685606611403388,7.466141649673446,0.08820449647214672,0.9509300390654482,0.7635668134047445,0.7693568070449103,hayashi
4,0.16,0.003125,0.0005,-1.8325814637483102,-5.768320995793772,2.5,17.88854381999832,66,777.8484848484849,51338,0.148,0.036,1.6949263876723364,0.3445221445221445,0.655011655011655,0,55.24543807534589,397.8125325809592,28.198205808928048,0.07088315098064288,0.1736278435971719,5.02234014822771,0.09090959042406443,0.9314366128316288,0.7228367931657602,0.7164874893837244,hayashi
5,0.24,0.0020833333333333333,0.0005,-1.4271163556401458,-6.173786103901937,2.041241452319315,21.908902300206645,99,512.8585858585859,50773,0.169,0.045,1.7266274608044059,0.49907235621521334,0.5005153576582148,0,46.52951736435769,375.97771199546276,26.474627369002203,0.07041541698972223,0.1985048100283061,3.414663024732313,0.07338702866812877,0.9532249419646074,0.7769807042883659,0.7876255997409226,hayashi
6,0.36,0.001388888888888889,0.0005,-1.0216512475319814,-6.579251212010101,1.6666666666666667,26.832815729997478,149,338.81879194630875,50484,0.164,0.042,1.7509906306308276,0.4259931072011609,0.5736441139125703,0,31.66788579947215,382.1321252903442,23.35260506322965,0.06111133693741746,0.2597457295356848,2.5395988920257153,0.0801947723351979,0.9354021524487044,0.8433066438395814,0.8083943106042426,hayashi
7,0.55,0.0009090909090909091,0.0005,-0.5978370007556204,-7.003065458786462,1.348399724926484,33.166247903554,227,222.03964757709252,50403,0.206,0.064,1.9831753962395633,0.3558535729601185,0.6438735331955869,0,22.968320692976192,397.8125325809592,23.52877214407397,0.059145376822148266,0.33302167977731306,1.8484524509708806,0.08047834561697605,0.9008518560369242,0.8008677827755282,0.8592142045019594,hayashi
8,0.84,0.0005952380952380953,0.0005,-0.1743533871447778,-7.426549072397305,1.0910894511799618,40.98780306383839,347,145.37463976945244,50445,0.194,0.057,1.9715100989814875,0.4300444770202062,0.5695390714797355,0,23.55602302054814,413.14563246397654,22.170046768537578,0.0536615784519292,0.32954003106197977,1.4167848497169806,0.06014533304204643,0.8610408712875639,0.767861017434299,0.7996196933174124,hayashi
9,0.03,0.016666666666666666,0.0005,-3.506557897319982,-4.0943445622221,5.773502691896258,7.745966692414834,12,4104.166666666667,49250,0.217,0.098,2.2140628411923484,0.2878787878787879,0.7121212121212122,0,93.42973760203432,386.50684984305144,50.20928874469883,0.1299053011999329,0.5638082555396022,34.00829856821134,0.36399865226069994,0.9501665369207903,0.7338962525921622,0.7447703662108718,hayashi
10,0.05,0.01,0.0005,-2.995732273553991,-4.605170185988091,4.47213595499958,10.0,20,2498.45,49969,0.146,0.037,1.6019360731365462,0.4842105263157895,0.5157894736842106,0,110.46233680745397,342.4984027126348,44.716423826644615,0.13055951056263135,0.13871765756877527,15.397239872031417,0.13938904713622188,0.7624765010641693,0.7400644949241142,0.6711305096045364,hayashi
11,0.07,0.007142857142857143,0.0005,-2.659260036932778,-4.941642422609305,3.779644730092272,11.832159566199232,28,1720.0714285714287,48162,0.148,0.037,1.617795313491644,0.455026455026455,0.544973544973545,0,68.27654990231196,380.53390675217076,37.62043839564349,0.0988622504541874,0.19867107291832073,11.191229252247155,0.16391029230766976,0.9469525714306974,0.7860562980979624,0.8000743257198412,hayashi
12,0.1,0.005,0.0005,-2.3025850929940455,-5.298317366548036,3.1622776601683795,14.142135623730951,41,1238.439024390244,50776,0.139,0.032,1.6259226989386706,0.524390243902439,0.47560975609756095,0,97.86854073768659,389.27411959583117,36.00199041086486,0.09248493182193666,0.09609638503581668,7.409039501712945,0.07570399482680669,0.9485198767731412,0.8112248648787472,0.7763509541162807,hayashi
13,0.16,0.003125,0.0005,-1.8325814637483102,-5.768320995793772,2.5,17.88854381999832,66,754.6818181818181,49809,0.181,0.054,1.7585438642219482,0.5585081585081585,0.441025641025641,0,68.71626951509229,381.8689363175003,28.559282083707426,0.07478817826638343,0.11117573068544546,4.821041249228933,0.07015865796047144,0.945348785932779,0.7560763907910097,0.7573963352692018,hayashi
14,0.24,0.0020833333333333333,0.0005,-1.4271163556401458,-6.173786103901937,2.041241452319315,21.908902300206645,99,516.1616161616162,51100,0.178,0.05,1.803330722295222,0.36178107606679033,0.6380127808699237,0,39.076531533999976,386.91944837600334,27.471644417001507,0.07100093968475038,0.21531383463988332,3.532449124331847,0.09039822588292692,0.9464219230629605,0.8553023037484666,0.8255499056116683,hayashi
15,0.36,0.001388888888888889,0.0005,-1.0216512475319814,-6.579251212010101,1.6666666666666667,26.832815729997478,149,342.36241610738256,51012,0.154,0.037,1.7534994339584369,0.5273898059132959,0.47251949936513693,0,39.336365434343996,395.15237554738036,24.82866459774043,0.06283314016105003,0.2239250051804921,2.4848435187692277,0.06316911822767816,0.9362350344308129,0.8134555001717854,0.841527466138535,hayashi
16,0.55,0.0009090909090909091,0.0005,-0.5978370007556204,-7.003065458786462,1.348399724926484,33.166247903554,227,224.37004405286345,50932,0.187,0.054,1.9660050344522493,0.33530856496822736,0.6642626018478812,0,24.023275335172702,413.14563246397654,23.2951326750609,0.05638479713831193,0.31884549579651034,1.8706693106148837,0.07786903677851201,0.8903257451382472,0.7318687000282517,0.7327395890807773,hayashi
