,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,PC1_err,PC2_err,PC3_err,PC4_err,PC5_err,PC6_err,PC7_err,PC8_err,PC9_err,PC10_err,reach,density,pdensity,proj_err,trajectory type
10,0.343,1.0,-1,-1.0700248318161971,0.0,1.7074694419062766,1.0,121,134480.54545454544,16272146,0.08,0.012,1.27623290916083,0.5292011019283747,0.46942148760330576,0,338.1195666526682,399.1328383564723,16.117219545069286,0.04038059010988899,0.017457486397184054,17.528611555664806,0.0518414587159074,0.170545733041184,0.2957558893508461,0.3192915695141846,1.9185096383679023,0.9084606739339883,1.363531433581694,1.4792671897312897,0.9078026490006034,0.9119335739715715,1.730713068836895,1.909486736520862,43.33366529135712,56.01304872378319,0.04531073832892279,fibroblasts
11,0.434,1.0,-1,-0.8347107448817322,0.0,1.5179418517972907,1.0,154,132807.03896103895,20452284,0.091,0.013,1.2913992131107306,0.6311009252185723,0.3676258382140735,0,404.20493312447553,376.71135516975113,14.538194025970045,0.038592396609385286,0.0075234540468951065,15.780245388650897,0.039040209793261844,0.16899367914090005,1.7180882398105155,1.0289256549009946,1.9536566168071743,0.6510937714204671,0.6700615166853969,1.7691977680001179,1.7607442338771953,1.8564544054188665,1.8193951116661145,2.1482235254729183,60.62291904737477,61.091165618006144,0.03222543494364823,fibroblasts
12,0.549,1.0,-1,-0.5996568374726063,0.0,1.34962721696486,1.0,194,131946.20618556702,25597564,0.049,0.005,1.1784121374856387,0.6117194594305859,0.3863575663693179,0,446.4309453643858,406.711660802673,13.127618551027222,0.03227745800334069,0.006245845558389645,14.316778835073878,0.03206941405772899,0.1276708566754247,0.17136512933240935,0.2769720537283208,0.4661318186415147,1.6439926179358888,0.9933798120744105,1.226710913779334,0.8873120714475772,1.8986653597785355,1.7646055955334408,1.928428082583975,48.93260405768572,37.04002611416892,0.040338154847513005,fibroblasts
13,0.696,1.0,-1,-0.3624056186477175,0.0,1.1986582537134605,1.0,247,136200.74493927124,33641584,0.071,0.012,1.209080408146356,0.39317336493202987,0.605115039004641,0,390.6851758918713,404.84738097777995,12.692606577150547,0.03135158376595051,0.0038480519608248237,13.272612103691566,0.03397265348855977,0.08199826688436647,0.13830035975632504,0.15361421500250735,0.20534010728193602,1.9039347123476842,0.6204160398493538,0.35054986774565283,0.4885800014919965,0.4315492268217261,1.9157478631058298,2.1201029695286127,34.873549219929124,35.35503560352953,0.019824560043038016,fibroblasts
14,0.88,1.0,-1,-0.12783337150988489,0.0,1.0660035817780522,1.0,312,133303.45833333334,41590679,0.075,0.01,1.2343737858452577,0.5794377112705087,0.41982026547942947,0,543.833597830989,406.711660802673,12.093128304105926,0.02973391094870336,0.007201887487596019,12.196513126252123,0.022426920982624762,0.054759627167898305,0.0915721948546776,0.0976649050921258,0.1123096855286926,0.2440679485381765,0.28175994747083166,1.9502549147067738,0.4277695638040421,0.24080179096473078,0.29160795692001035,2.302709956232573,29.610735508957806,30.165734321339386,0.011282341169743354,fibroblasts
15,0.032,1.0,-1,-3.4420193761824103,0.0,5.5901699437494745,1.0,11,156704.27272727274,1723747,0.138,0.028,1.9635742712898785,0.32727272727272727,0.6727272727272727,0,359.60543475316535,395.599426264773,49.931619539144506,0.12621762374782988,0.17440083743772306,106.35096086974718,0.29574347490812236,1.914844874437147,1.3033032962763178,1.6296626527876092,1.5529425346135668,1.4024903128670776,1.3915012645254068,1.3661599748360673,1.445497519682221,1.4394983079831845,1.367794300764486,1.5888793986156513,126.44814912881411,127.31888164004845,0.06517558743494463,fibroblasts
16,0.041,1.0,-1,-3.1941832122778293,0.0,4.938647983247948,1.0,14,137560.57142857142,1925848,0.113,0.021,1.3998625161325364,0.3516483516483517,0.6483516483516484,0,365.8949020926139,377.3554617083479,51.49823407208741,0.1364714156751482,0.1531264550666755,77.5021505238005,0.21181533298374147,0.6808929451250133,0.591905793675637,0.8774690956239304,1.6032327992235207,1.3064490126890056,1.2928052472534657,1.4256187437413415,1.3997617933429574,1.334269676233564,1.5233533790866127,1.3191612637085202,106.50188013568977,112.73715655879667,0.06931151485556511,fibroblasts
17,0.052,1.0,-1,-2.9565115604007097,0.0,4.385290096535146,1.0,18,122046.27777777778,2196833,0.147,0.037,1.5087128050951861,0.477124183006536,0.5228758169934641,0,402.36962678601594,356.472843389513,43.73592354927144,0.12269075852569727,0.10975934133856008,59.14456060320187,0.14699061923641546,0.5079895764905938,0.7239837024042618,0.9178949546401827,1.7313439091812608,1.4024198496232256,1.2876819359666298,1.419427053920453,1.4771968524105512,1.4307401550810477,1.4133841802478713,1.3815834305005237,122.45078439040607,104.57694344756733,0.06012650054693606,fibroblasts
18,0.066,1.0,-1,-2.7181005369557116,0.0,3.8924947208076146,1.0,23,146979.30434782608,3380524,0.093,0.016,1.4209435397491998,0.7114624505928854,0.2885375494071146,0,515.9803475588556,368.50661641491206,35.732216351634065,0.09696492480721745,0.06998527509985224,46.033365652406445,0.08921534680573398,0.4624602124723168,1.5375494946451946,1.107561617469099,1.195375746699183,1.2962319888965734,1.3282564108127786,1.2829199765540131,1.4764214352714264,1.3651174600780698,1.2998608026643466,1.5280453525558433,156.32625475324164,86.43423060495391,0.0660071971635343,fibroblasts
19,0.083,1.0,-1,-2.488914671185539,0.0,3.4710506725031163,1.0,29,140628.6551724138,4078231,0.115,0.024,1.4364612051120869,0.5123152709359606,0.4852216748768473,0,458.274912483043,366.2729488478715,27.82152495193676,0.07595844858172207,0.08630411637913174,39.755706169284565,0.08675078012426786,0.3821654144144682,0.9227409183817592,1.0192961043954767,1.0659800157599184,1.16057013957004,1.26543615348313,1.3034867921986844,1.4532607792237813,1.4392130668535534,1.3999840949641478,1.422845070714123,85.46807247660819,83.04114199053173,0.0652891536229814,fibroblasts
20,0.106,1.0,-1,-2.24431618487007,0.0,3.071475584169756,1.0,37,135108.13513513515,4999001,0.095,0.015,1.3719846716469406,0.42492492492492495,0.5735735735735735,0,341.36634766318554,372.8711486266068,26.89920445191487,0.07214075036642681,0.07237679752218062,33.43544824734856,0.09794594129219253,0.37159668680274155,1.38810933686607,1.420135981234523,1.7944078224268072,1.219253812901138,1.3377544669741173,1.4942376105848514,1.3563577293112157,1.3680779225587192,1.5120077098015736,1.3229324503474296,70.0759540395172,76.35547346245873,0.06546459640424447,fibroblasts
21,0.134,1.0,-1,-2.0099154790312257,0.0,2.731791823540765,1.0,47,126693.36170212766,5954588,0.113,0.021,1.4888451462430614,0.61054579093432,0.3866790009250694,0,547.1007236979431,375.3663879356805,22.205773282685143,0.05915759640815291,0.02964100456068101,29.672005079122503,0.054234995118567164,0.4238885292128654,0.42237774990839444,0.7119870517036406,1.825426011753635,1.1600326949630986,1.1156273179568903,1.5597068529749145,1.6128937681919704,1.379642838899295,1.4427161139038698,1.4014663098004425,76.48597425706723,95.9422949164142,0.05898497177173366,fibroblasts
22,0.169,1.0,-1,-1.7778565640590636,0.0,2.4325212770525995,1.0,59,141394.62711864407,8342283,0.099,0.018,1.3894949885436614,0.6458211572180012,0.35359438924605496,0,494.5526845254095,373.74913134601445,21.726483405974793,0.05813119438627018,0.021725417913458243,23.744941671703497,0.048012966898541856,0.33072292949000026,0.4840887390806681,0.5261072611025671,1.8383475905732807,1.7582093204790692,0.99905443790829,1.1685578067123281,1.2299355035666744,1.3734751124600042,1.2849374803886604,0.9013346088926344,76.50011448797608,71.44162568505827,0.05533009305859042,fibroblasts
23,0.214,1.0,-1,-1.5417792639602856,0.0,2.161688505835585,1.0,75,129831.42666666667,9737357,0.102,0.02,1.3313863970001116,0.5455855855855856,0.45369369369369367,0,383.59753370489756,372.9614814912847,18.00810480318434,0.04828408749123106,0.017183398966037607,20.478483655979428,0.05338533712193668,0.23671801559919398,0.3396254924291281,0.507052006496681,1.8608958871160999,1.81034413860024,1.60311891795384,1.24395886741277,1.6787415355076436,1.0204136940096402,1.5018757292745097,1.2755519143114173,44.23124458653058,39.817752731286376,0.0565174798761098,fibroblasts
24,0.271,1.0,-1,-1.305636458102436,0.0,1.9209468759882464,1.0,96,138268.65625,13273791,0.083,0.012,1.2861105432652704,0.6971491228070176,0.30153508771929827,0,456.0104252315074,371.70125819277007,17.182609490939445,0.04622693389439181,0.013376967977023502,20.12973744019031,0.0441431518368705,0.21216509298867936,1.3630560007038917,1.4478852774219924,0.5918509418892586,1.694705988057255,1.0715630249342212,0.8575705096467041,1.7172806498789934,1.6730054207789884,1.2790903999783836,2.1358605991004733,59.90885168360487,53.04933642843845,0.046771791599401875,fibroblasts
25,0.343,1.0,-1,-1.0700248318161971,0.0,1.7074694419062766,1.0,121,132520.18181818182,16034942,0.08,0.013,1.2610673975449103,0.5508264462809918,0.44807162534435263,0,381.406768948784,380.5491191915438,15.78623338545405,0.04148277473087063,0.013095621781736852,17.317259784864117,0.04540365089112908,0.18708474856748725,0.2608526011009069,0.36203519644352306,1.9410322560570377,0.6502712538586676,0.5575741266722106,1.6875683330356048,1.1009724496948587,0.8531695101968919,1.773246698760777,1.8357587610662027,35.86128752325142,42.60523853083564,0.046199497863594494,fibroblasts
26,0.434,1.0,-1,-0.8347107448817322,0.0,1.5179418517972907,1.0,154,136498.62987012987,21020789,0.084,0.013,1.2574420162853608,0.6598760716407776,0.33910533910533913,0,393.79559524666604,386.36013762270375,14.916251014176382,0.03860711694005737,0.00659775709235401,16.372979646948004,0.04157735598005428,0.14466295347052238,0.291449973025296,0.3339307579860722,1.961870003068088,0.43181491178181225,0.7779153658456388,0.7549415339443108,0.730204887142425,1.8647958964091256,0.7572095604105236,2.1304978698311707,51.156699171970686,42.89964167156597,0.03649743751027383,fibroblasts
